event_id,timestamp_et,session_date_et,session_time_et,level,zone_low,zone_high,approach,previous_close,touch_open,touch_high,touch_low,touch_close,touch_close_response_points,full_5m_window,favorable_5m_points,adverse_5m_points,close_move_5m_points,full_15m_window,favorable_15m_points,adverse_15m_points,close_move_15m_points,full_30m_window,favorable_30m_points,adverse_30m_points,close_move_30m_points,dominant_30m_reaction,heavy_10pt_30m_reaction,full_60m_window,favorable_60m_points,adverse_60m_points,close_move_60m_points
240,2026-03-31 12:25:00,2026-03-31,12:25:00,6450,6448,6452,from_below,6447.04,6447.83,6449.78,6444.17,6445.65,4.35,true,8.53,0,6.18,true,8.95,67.52,-46.99,true,8.95,67.52,-41.02,false,false,true,8.95,67.52,-44.45
241,2026-03-31 12:35:00,2026-03-31,12:35:00,6450,6448,6452,from_below,6443.82,6443.71,6472.03,6441.05,6472.03,-22.03,true,0,67.52,-46.99,true,0,67.52,-37.95,true,0,67.52,-38.4,false,false,true,0,67.52,-42.29
242,2026-03-31 12:40:00,2026-03-31,12:40:00,6500,6498,6502,from_below,6472.03,6473.2,6517.52,6473.2,6496.99,3.01,true,25.23,2.43,11.98,true,25.23,2.43,8.98,true,25.23,9.09,1.08,true,true,true,25.23,9.09,8.51
243,2026-03-31 13:00:00,2026-03-31,13:00:00,6500,6498,6502,from_below,6491.02,6490.79,6509.09,6490.58,6505.81,-5.81,true,12.53,5.87,11.6,true,12.53,8.59,-7.63,true,12.53,8.59,-6.13,true,true,true,13,8.59,5
244,2026-03-31 14:00:00,2026-03-31,14:00:00,6500,6498,6502,from_below,6488.9,6488.89,6499.7,6488.89,6495,5,true,5.08,2.64,-1.61,true,6.36,5.28,-2.49,true,6.36,5.69,-0.6,true,false,true,6.36,16.22,-13.97
245,2026-04-01 11:45:00,2026-04-01,11:45:00,6600,6598,6602,from_below,6597.51,6597.6,6599.22,6595.44,6597.38,2.62,true,4.21,0.91,-0.09,true,4.21,5.87,-3.73,true,4.21,6,-3.22,false,false,true,6.23,6,-2.44
246,2026-04-01 12:10:00,2026-04-01,12:10:00,6600,6598,6602,from_above,6605.12,6605.1,6605.35,6600.06,6600.77,0.77,true,4.29,0.48,3.22,true,4.29,3.52,-3.19,true,4.29,6.23,3.67,false,false,true,9.67,6.23,8.57
247,2026-04-01 12:55:00,2026-04-01,12:55:00,6600,6598,6602,from_above,6603.48,6603.56,6604.58,6601.82,6603.14,3.14,true,8.14,0,8.08,true,9.67,0,8.57,true,9.67,0,7.82,true,false,true,9.67,7,-7
248,2026-04-01 13:45:00,2026-04-01,13:45:00,6600,6598,6602,from_above,6603.18,6603.29,6605.02,6600.63,6601.05,1.05,true,2.28,0.53,0.37,true,2.28,18.19,-15.71,true,2.28,29.48,-26.62,false,false,true,2.28,38.63,-28.71
249,2026-04-02 09:30:00,2026-04-02,09:30:00,6500,6498,6502,from_above,6575.33,6496.17,6500.55,6487.29,6493.93,-6.07,true,0,23.14,-23.14,true,0,25.06,-5.93,true,23.98,25.06,14.68,false,true,true,46.69,25.06,46.19
250,2026-04-02 09:50:00,2026-04-02,09:50:00,6500,6498,6502,from_below,6494.07,6494.05,6512.29,6492.76,6511.16,-11.16,true,0,22.24,-20.61,true,0,26.03,-23.08,true,0,33.95,-31.4,false,false,true,0,101.91,-71.1
251,2026-04-02 10:35:00,2026-04-02,10:35:00,6550,6548,6552,from_below,6546.19,6546.29,6601.91,6546.29,6589.62,-39.62,true,0,39.62,-34.81,true,0,39.62,-21.1,true,0,39.62,-22.07,false,false,true,0,39.62,-26.11
252,2026-04-02 10:35:00,2026-04-02,10:35:00,6600,6598,6602,from_below,6546.19,6546.29,6601.91,6546.29,6589.62,10.38,true,31.27,0,15.19,true,41.36,0,28.9,true,41.36,0,27.93,true,true,true,41.36,0,23.89
253,2026-04-02 12:15:00,2026-04-02,12:15:00,6550,6548,6552,from_above,6558.36,6558.41,6560.23,6549.46,6549.57,-0.43,true,4.29,3.68,0.04,true,13.56,3.68,10.29,true,22.22,3.68,16.42,true,true,true,22.22,3.68,19.43
254,2026-04-02 13:45:00,2026-04-02,13:45:00,6550,6548,6552,from_above,6566.14,6566.14,6566.73,6551.68,6551.84,1.84,true,6.25,0,6.11,true,12.72,0,12.72,true,17.49,0,14.04,true,true,true,20.1,0,19.03
255,2026-04-06 09:35:00,2026-04-06,09:35:00,6600,6598,6602,from_below,6596.95,6597.28,6602.17,6579.95,6589.71,10.29,true,16.11,0,7.94,true,16.11,2.74,-0.08,true,16.16,18.13,5.26,false,true,true,16.16,18.13,5.58
256,2026-04-06 09:45:00,2026-04-06,09:45:00,6600,6598,6602,from_below,6592.06,6591.91,6601.9,6591.64,6594.9,5.1,true,6.85,2.74,-0.08,true,12.27,18.13,12.21,true,16.16,18.13,-6.76,false,true,true,16.16,18.13,9.47
257,2026-04-06 10:10:00,2026-04-06,10:10:00,6600,6598,6602,from_below,6594.74,6594.87,6604.16,6588.34,6603.61,-3.61,true,0.21,8,-6.76,true,0.21,12.69,-7.25,true,7.98,13.23,-0.29,false,false,true,10.02,13.23,1.77
258,2026-04-06 10:35:00,2026-04-06,10:35:00,6600,6598,6602,from_above,6608.04,6607.99,6611.13,6592.02,6594.42,-5.58,true,5.73,5.82,0.29,true,5.73,10.02,-3.38,true,5.73,10.02,0.41,false,false,true,5.73,12.56,-6.87
259,2026-04-06 11:45:00,2026-04-06,11:45:00,6600,6598,6602,from_below,6594.84,6594.78,6598.92,6593.37,6597.82,2.18,true,3.12,2.93,-1.91,true,3.12,3.67,1.54,true,3.83,3.67,0.62,true,false,true,3.83,8.18,-7.27
260,2026-04-06 12:55:00,2026-04-06,12:55:00,6600,6598,6602,from_above,6603.93,6603.9,6604.28,6600.61,6602.89,2.89,true,3.42,7.75,-2.96,true,3.42,20.28,-16.31,true,3.42,20.28,-2.14,false,false,true,3.42,20.28,-11.11
261,2026-04-06 13:25:00,2026-04-06,13:25:00,6600,6598,6602,from_below,6595.71,6595.79,6598.61,6594.14,6597.86,2.14,true,3.92,2.43,1.32,true,7.58,2.43,5.1,true,11.69,2.43,11.11,true,true,true,13.48,9.41,-6.43
262,2026-04-06 14:10:00,2026-04-06,14:10:00,6600,6598,6602,from_below,6591.15,6591.08,6601.61,6591.08,6596.71,3.29,true,3.36,4.14,-3.64,true,3.36,9.41,-6.43,true,3.36,9.41,-2.82,false,false,true,3.36,9.41,-4.96
263,2026-04-06 14:30:00,2026-04-06,14:30:00,6600,6598,6602,from_above,6606.43,6606.4,6608.72,6601.72,6603.18,3.18,true,5.5,0,2.9,true,5.93,0,5.03,true,7.57,0,7.44,true,false,true,7.81,0,4.81
264,2026-04-06 14:40:00,2026-04-06,14:40:00,6600,6598,6602,from_above,6602.9,6602.84,6603.24,6601.56,6602.82,2.82,true,5.93,0,5.03,true,7.57,0,7.03,true,7.81,0,4.96,true,false,true,7.81,0,6.3
265,2026-04-07 09:30:00,2026-04-07,09:30:00,6600,6598,6602,from_above,6611.82,6601.93,6601.93,6581.91,6582.5,-17.5,true,0,24.01,-22.51,true,0,33.99,-30.77,true,0,43.43,-42.36,false,false,true,0,56.84,-29.52
266,2026-04-07 10:05:00,2026-04-07,10:05:00,6550,6548,6552,from_above,6557.64,6558.07,6558.07,6543.16,6546.57,-3.43,true,1.75,3.43,1.34,true,20.09,3.43,18.97,true,25.59,3.43,16.59,true,true,true,25.59,15.45,-13.06
267,2026-04-07 10:55:00,2026-04-07,10:55:00,6550,6548,6552,from_above,6561.52,6561.63,6561.63,6549.67,6549.67,-0.33,true,0,8.09,-7.71,true,0,15.45,-6.93,true,10.28,15.45,5.48,false,true,true,15.11,15.45,11.32
268,2026-04-07 11:15:00,2026-04-07,11:15:00,6550,6548,6552,from_below,6543.07,6543.72,6560.28,6542.15,6553.53,-3.53,true,1.76,3.75,1.64,true,1.76,8.01,-6.87,true,1.76,10.27,-3.36,false,false,true,1.76,42.34,-25.95
269,2026-04-07 11:40:00,2026-04-07,11:40:00,6550,6548,6552,from_above,6553.95,6553.88,6554.78,6550.05,6550.46,0.46,true,5.05,0,3.36,true,15.11,0,11.32,true,42.34,0,25.65,true,true,true,42.34,0,33.86
270,2026-04-07 13:35:00,2026-04-07,13:35:00,6600,6598,6602,from_below,6591.11,6591.18,6606.32,6591.18,6598.83,1.17,true,8.96,0,8.38,true,11.67,0,6.62,true,14.51,0,12.77,true,true,true,18.16,0,17.34
271,2026-04-07 15:20:00,2026-04-07,15:20:00,6600,6598,6602,from_below,6595.63,6595.28,6603.97,6584.86,6589.62,10.38,true,16.13,0,9.74,true,16.88,0,16.41,true,17.43,13.09,-7.77,true,true,false,17.43,18.26,
272,2026-04-07 15:45:00,2026-04-07,15:45:00,6600,6598,6602,from_below,6591.4,6591.26,6613.09,6588.38,6600.23,-0.23,true,0,10.77,-7.77,true,0,18.26,-16.84,false,0,18.26,,,,false,0,18.26,
273,2026-04-08 10:45:00,2026-04-08,10:45:00,6750,6748,6752,from_above,6757.89,6757.88,6759.73,6751.69,6758.33,8.33,true,8.73,0,4.95,true,13.1,9.72,10.85,true,13.1,9.72,8.4,true,true,true,22.66,9.72,22.36
274,2026-04-08 11:05:00,2026-04-08,11:05:00,6750,6748,6752,from_above,6760.85,6760.68,6761.36,6750.88,6751.1,1.1,true,7.01,0.95,5.69,true,9.38,0.95,9.35,true,17.07,0.95,16.14,true,true,true,30.66,0.95,26.23
275,2026-04-09 11:30:00,2026-04-09,11:30:00,6800,6798,6802,from_below,6783.82,6783.76,6803.63,6781.81,6798.61,1.39,true,7.49,2.61,3.67,true,7.49,8.14,-4.85,true,7.49,30.93,-24.43,false,false,true,7.49,30.93,-21.41
276,2026-04-13 09:30:00,2026-04-13,09:30:00,6800,6798,6802,from_above,6816.9,6800.98,6803.76,6794.68,6798.43,-1.57,true,0,9.58,-3.95,true,11.7,9.98,11.41,true,23.15,9.98,17.63,true,true,true,23.15,9.98,21.8
277,2026-04-13 09:45:00,2026-04-13,09:45:00,6800,6798,6802,from_below,6793.03,6793.04,6811.7,6790.02,6811.41,-11.41,true,0,16.54,-10.59,true,0,23.15,-17.63,true,0,23.15,-13.13,false,false,true,0,24.61,-20.08
278,2026-04-13 12:50:00,2026-04-13,12:50:00,6850,6848,6852,from_below,6844.65,6844.69,6851.79,6844.26,6845.29,4.71,true,6.97,0,2.95,true,6.97,0,3.64,true,6.97,1.29,2.9,true,false,true,7.41,1.29,4.05
279,2026-04-13 13:00:00,2026-04-13,13:00:00,6850,6848,6852,from_below,6847.05,6847.12,6849.25,6846.07,6848.55,1.45,true,5.15,0,3.64,true,5.15,1.29,0.06,true,5.15,1.29,2.43,true,false,true,7.41,1.29,1.99
280,2026-04-13 13:15:00,2026-04-13,13:15:00,6850,6848,6852,from_below,6847.03,6846.99,6851.29,6846.65,6849.94,0.06,true,2.99,0.07,2.9,true,3.04,0.64,2.43,true,5.91,0.64,5.38,true,false,true,7.41,0.64,1.38
281,2026-04-13 14:00:00,2026-04-13,14:00:00,6850,6848,6852,from_below,6845.27,6845.27,6849.22,6845.27,6848.01,1.99,true,2.83,0,1,true,2.83,0.13,1.38,true,3.66,0.13,1.18,true,false,true,3.66,9.5,-7.6
282,2026-04-14 11:25:00,2026-04-14,11:25:00,6950,6948,6952,from_below,6943.58,6943.56,6948.55,6943.54,6946.45,3.55,true,3.67,0.58,0.78,true,3.67,4.52,-2.61,true,3.67,7.49,-2.94,false,false,true,3.67,11.51,-10.29
283,2026-04-14 14:20:00,2026-04-14,14:20:00,6950,6948,6952,from_above,6953.65,6953.74,6954.94,6946.64,6946.89,-3.11,true,2.07,4.2,-0.05,true,4.05,4.2,4.01,true,5.59,4.2,0.38,true,false,true,14.85,4.2,14.64
284,2026-04-15 11:15:00,2026-04-15,11:15:00,7000,6998,7002,from_below,6996.71,6996.87,6998.26,6995.97,6997.68,2.32,true,3.45,0,2.43,true,7.39,0,7,true,7.45,0,1.72,true,false,true,7.79,0,0.3
285,2026-04-15 11:40:00,2026-04-15,11:40:00,7000,6998,7002,from_below,6994.96,6995.01,6999.45,6995.01,6998.41,1.59,true,2.59,0,1.72,true,7.22,0,5.05,true,7.79,0,2.1,true,false,true,13.44,1.92,13.43
286,2026-04-15 12:05:00,2026-04-15,12:05:00,7000,6998,7002,from_below,6994.74,6994.69,6998.26,6993.25,6998.14,1.86,true,3.74,0,2.1,true,3.74,1.92,-1.51,true,5.47,1.92,4.25,true,false,true,20.05,1.92,4.49
287,2026-04-15 12:35:00,2026-04-15,12:35:00,7000,6998,7002,from_below,6996.11,6996.04,6998.74,6995.7,6995.75,4.25,true,13.44,0,13.43,true,16.73,0,15.59,true,20.05,0,4.49,true,true,true,20.05,3.82,-0.31
288,2026-04-15 13:15:00,2026-04-15,13:15:00,7000,6998,7002,from_below,6995.36,6995.34,6998.24,6995.15,6996.8,3.2,true,5.43,0,3.48,true,5.43,1.66,-1.56,true,5.43,3.82,0.44,true,false,true,5.43,9.86,-7.44
289,2026-04-15 13:25:00,2026-04-15,13:25:00,7000,6998,7002,from_below,6996.52,6996.5,6999.52,6996.33,6998.15,1.85,true,2.34,1.66,-1.56,true,3.39,3.82,2.12,true,3.39,3.82,1.79,false,false,true,4.29,9.86,-8.5
290,2026-04-16 12:00:00,2026-04-16,12:00:00,7050,7048,7052,from_below,7046.61,7046.59,7048.79,7046.08,7048.31,1.69,true,4.91,0,3.03,true,4.91,1.23,-0.8,true,23.48,1.23,16.72,true,true,true,23.48,1.23,20.47
291,2026-04-17 09:35:00,2026-04-17,09:35:00,7100,7098,7102,from_below,7093.64,7093.8,7100.12,7093.35,7095.2,4.8,true,8.94,0,4.39,true,17.29,2.61,-1.38,true,17.29,15.48,-15.21,true,true,true,17.29,27.16,-27.16
292,2026-04-17 09:45:00,2026-04-17,09:45:00,7100,7098,7102,from_below,7095.61,7095.83,7099.13,7082.71,7094.78,5.22,true,5.94,2.61,-1.38,true,5.94,13.04,-12.2,true,5.94,17.82,-14.7,false,false,true,5.94,36.86,-36.55
293,2026-04-20 10:50:00,2026-04-20,10:50:00,7100,7098,7102,from_above,7110.1,7110.14,7110.88,7089.67,7100.83,0.83,true,1.11,7.19,-4.95,true,1.11,15.59,-11.24,true,3.95,15.59,0.47,false,false,true,7.36,15.59,-1.28
294,2026-04-20 11:20:00,2026-04-20,11:20:00,7100,7098,7102,from_below,7093.44,7093.43,7103.95,7091.94,7100.47,-0.47,true,0.25,7.36,-7.36,true,3.34,7.36,-0.38,true,4.81,7.36,1.28,false,false,true,5.87,7.36,-0.21
295,2026-04-20 13:30:00,2026-04-20,13:30:00,7100,7098,7102,from_above,7103.28,7103.34,7103.53,7100.04,7100.58,0.58,true,3.17,0,2.82,true,5.62,0,3.71,true,5.62,0.66,1.18,true,false,true,9.98,0.66,7.05
296,2026-04-20 13:55:00,2026-04-20,13:55:00,7100,7098,7102,from_above,7104.07,7104.04,7104.17,7100.69,7101.01,1.01,true,1.54,0.66,1.18,true,6.01,0.66,5.87,true,9.98,0.66,7.2,true,false,true,9.98,0.66,6.6
297,2026-04-20 15:30:00,2026-04-20,15:30:00,7100,7098,7102,from_above,7104.27,7104.32,7105.45,7101.96,7102.04,2.04,true,3.81,0,3.04,true,3.84,0.28,2.63,true,10.37,0.28,9.13,true,true,false,10.37,0.28,
298,2026-04-21 10:55:00,2026-04-21,10:55:00,7100,7098,7102,from_above,7114.03,7114.11,7114.11,7098.31,7099.03,-0.97,true,1.68,13.49,-9.44,true,4.13,14.62,2.85,true,5.21,14.62,-9.66,false,false,true,5.21,15.7,-8.94
299,2026-04-21 12:00:00,2026-04-21,12:00:00,7100,7098,7102,from_below,7091.06,7090.97,7101.03,7090.97,7096.06,3.94,true,6.37,0,2.19,true,9.88,0,5.58,true,13.43,0,7.07,true,true,true,20.56,0,16.16
300,2026-04-21 15:20:00,2026-04-21,15:20:00,7100,7098,7102,from_below,7090.57,7090.56,7099.73,7090.56,7099.49,0.51,true,1.54,1.35,-1.09,true,18.56,2.46,14.42,true,49.8,2.46,40.07,true,true,false,49.8,2.46,
301,2026-04-21 15:40:00,2026-04-21,15:40:00,7050,7048,7052,from_above,7085.58,7085.64,7086.2,7050.2,7054.1,4.1,true,17.22,0,13.32,true,18.98,0,14.06,false,18.98,0,,,,false,18.98,0,
302,2026-04-23 13:10:00,2026-04-23,13:10:00,7100,7098,7102,from_above,7103.51,7103.28,7104.51,7097.4,7100.6,0.6,true,0.76,14.12,-11.69,true,0.76,16.57,-15.66,true,0.76,42.91,-39.81,false,false,true,4.54,53.45,1.39
303,2026-04-23 13:35:00,2026-04-23,13:35:00,7100,7098,7102,from_below,7096.56,7096.51,7099.7,7080.23,7080.74,19.26,true,42.91,0,39.81,true,53.45,0,19.2,true,53.45,2.81,2.42,true,true,true,53.45,18.46,-12.9
304,2026-04-23 13:45:00,2026-04-23,13:45:00,7050,7048,7052,from_above,7060.19,7060.07,7064,7046.55,7058.07,8.07,true,37.83,0,30.8,true,51.16,0,46.25,true,56.15,0,55.13,true,true,true,68.46,0,54.68
305,2026-04-23 14:00:00,2026-04-23,14:00:00,7100,7098,7102,from_below,7090.53,7090.58,7101.16,7087.08,7096.25,3.75,true,6.67,2.81,2.42,true,6.67,6.15,-5.13,true,6.67,15.3,-14.82,false,false,true,8.23,18.46,4.45
306,2026-04-23 14:50:00,2026-04-23,14:50:00,7100,7098,7102,from_above,7104.68,7104.35,7107.38,7100.89,7105.01,5.01,true,5.58,7.85,-5.24,true,5.58,8.23,3.1,true,9.8,8.23,7.29,true,false,true,12.18,8.39,4.12
307,2026-04-23 15:05:00,2026-04-23,15:05:00,7100,7098,7102,from_below,7095.55,7095.53,7104.25,7095.53,7103.1,-3.1,true,0,5.46,-5.38,true,0,9.8,-7.29,true,4.52,12.18,1.14,false,false,false,8.39,12.18,
308,2026-04-23 15:35:00,2026-04-23,15:35:00,7100,7098,7102,from_above,7102.99,7103.05,7103.05,7095.48,7098.86,-1.14,true,3.8,3.14,-2.86,true,5.61,8.39,4.12,false,12.13,8.39,,,,false,12.13,8.39,
309,2026-04-24 11:40:00,2026-04-24,11:40:00,7150,7148,7152,from_below,7140.69,7140.76,7157.91,7140.26,7156.17,-6.17,true,0,13.73,-6.74,true,0,14.45,-11.89,true,0,14.45,-7.71,false,false,true,0,14.45,-4.82
310,2026-04-24 13:20:00,2026-04-24,13:20:00,7150,7148,7152,from_above,7154.77,7154.88,7155.35,7150.39,7154.97,4.97,true,6.59,0,3.87,true,9.08,0,5.67,true,17.23,0,13.01,true,true,true,17.23,0,6
311,2026-04-24 13:30:00,2026-04-24,13:30:00,7150,7148,7152,from_above,7153.87,7153.85,7155.16,7151.48,7154.62,4.62,true,9.08,0,5.67,true,10,0,8.34,true,17.23,0,9.6,true,true,true,17.23,0,8.24
312,2026-04-27 09:30:00,2026-04-27,09:30:00,7150,7148,7152,from_above,7165.07,7153.99,7165.63,7151.84,7160.85,10.85,true,16.96,0,16.74,true,17.7,0.05,0.72,true,17.7,1.58,12.54,true,true,true,17.7,1.58,7.5
313,2026-04-27 09:45:00,2026-04-27,09:45:00,7150,7148,7152,from_above,7160.24,7160.4,7161.01,7149.95,7150.72,0.72,true,14.45,1.58,14.45,true,16.7,1.58,12.54,true,16.7,1.58,7.64,true,true,true,16.7,1.58,11.06
314,2026-04-27 11:05:00,2026-04-27,11:05:00,7150,7148,7152,from_above,7152.31,7152.45,7155.6,7151.18,7153.85,3.85,true,5.28,0,2.15,true,5.56,3.28,-1.47,true,5.56,3.28,3.93,true,false,true,11.99,3.28,10.89
315,2026-04-28 09:40:00,2026-04-28,09:40:00,7150,7148,7152,from_below,7144.1,7143.53,7152.52,7142.55,7147.58,2.42,true,5.47,0,4.56,true,17.47,0,10.56,true,17.47,0,10.08,true,true,true,31.03,0,22.4
316,2026-04-30 09:30:00,2026-04-30,09:30:00,7150,7148,7152,from_below,7135.96,7170.05,7170.52,7151.53,7152.19,-2.19,true,8.29,4.42,8.14,true,13.49,4.94,1.04,true,19.67,4.94,9.58,true,true,true,23.85,4.94,10.64
317,2026-04-30 10:30:00,2026-04-30,10:30:00,7150,7148,7152,from_below,7142.47,7142.19,7150.31,7137.6,7139.36,10.64,true,15.75,0,15,true,15.75,3.73,-0.6,true,15.75,17.95,-13.1,false,true,true,15.75,22.37,-17.85
318,2026-04-30 10:45:00,2026-04-30,10:45:00,7150,7148,7152,from_below,7144.88,7144.81,7153.73,7144.81,7150.6,-0.6,true,0.92,11.98,-10.46,true,0.92,17.95,-13.1,true,0.92,18.76,-14.74,false,false,true,0.92,22.37,-13.5
319,2026-04-30 14:00:00,2026-04-30,14:00:00,7200,7198,7202,from_below,7194.05,7194.09,7202.23,7193.61,7200.9,-0.9,true,1.82,1.68,1.35,true,2.07,4.77,-2,true,2.07,5.51,-4.46,false,false,true,2.07,11.11,-10.94
320,2026-05-01 09:30:00,2026-05-01,09:30:00,7250,7248,7252,from_below,7209.02,7237.7,7248.38,7232.75,7247.69,2.31,true,5.57,1.01,4.93,true,7.16,1.01,3.33,true,8.23,19.97,-17.14,false,false,true,8.23,22.52,-5.34
321,2026-05-01 10:35:00,2026-05-01,10:35:00,7250,7248,7252,from_above,7255.34,7255.55,7256.39,7246.03,7251.47,1.47,true,6.5,1.84,2.71,true,7.48,1.84,2.65,true,7.48,5.51,-0.47,true,false,true,13.63,5.51,11.48
322,2026-05-01 12:05:00,2026-05-01,12:05:00,7250,7248,7252,from_above,7256.75,7256.89,7257.33,7248.15,7248.61,-1.39,true,0.8,2.69,-1.7,true,5.24,4.28,-0.86,true,5.24,9.68,-4.44,false,false,true,5.24,12.1,-4.95
323,2026-05-01 13:15:00,2026-05-01,13:15:00,7250,7248,7252,from_below,7247.86,7247.81,7250.12,7247.08,7250.03,-0.03,true,0.15,2.11,-0.63,true,0.15,4.29,-3.04,true,0.49,4.29,-1.78,false,false,true,11.66,5.13,8.24
324,2026-05-01 13:35:00,2026-05-01,13:35:00,7250,7248,7252,from_above,7253.04,7252.91,7253.25,7249.51,7251.24,1.24,true,3.66,0,2.1,true,5.13,0,3.04,true,5.13,4.95,-1.9,true,false,true,5.13,14.04,-13.56
325,2026-05-01 15:25:00,2026-05-01,15:25:00,7250,7248,7252,from_below,7245.63,7245.64,7248.96,7245.51,7247.54,2.46,true,6.72,0,4.41,true,6.72,0,5.61,true,18.7,0,18.63,true,true,false,20.68,0,
326,2026-05-04 11:20:00,2026-05-04,11:20:00,7200,7198,7202,from_above,7211.02,7210.33,7210.33,7197.79,7199.34,-0.66,true,9.85,1.01,6.76,true,9.85,3.38,1.34,true,9.85,6.96,2.96,true,false,true,9.85,25.88,-2.72
327,2026-05-04 12:20:00,2026-05-04,12:20:00,7200,7198,7202,from_below,7194.13,7194.58,7199.95,7193.99,7197.28,2.72,true,8.35,0,7.48,true,10.6,0,8.93,true,13.21,0,11.29,true,true,true,13.21,8.7,-7.54
328,2026-05-04 13:10:00,2026-05-04,13:10:00,7200,7198,7202,from_below,7196.84,7196.95,7198.75,7194.56,7197.45,2.55,true,4.19,6.81,-5.69,true,4.19,8.7,-7.87,true,4.19,8.7,-4.99,false,false,true,4.19,12.79,-7.24
329,2026-05-04 13:35:00,2026-05-04,13:35:00,7200,7198,7202,from_above,7204.02,7204.07,7204.27,7199.44,7203.32,3.32,true,5.69,0,4.99,true,9.09,0,6.59,true,12.79,0,9.66,true,true,true,12.79,4.59,-2.27
330,2026-05-04 14:20:00,2026-05-04,14:20:00,7200,7198,7202,from_above,7205.17,7205.16,7205.21,7198.89,7200.13,0.13,true,0.95,4.59,0.6,true,1.22,4.59,-2.27,true,1.22,8.85,-6.15,false,false,true,4.82,8.85,1.62
331,2026-05-04 14:50:00,2026-05-04,14:50:00,7200,7198,7202,from_below,7197.39,7197.57,7198.64,7193.74,7193.85,6.15,true,6.15,0,1.94,true,6.15,4.13,-2.55,true,6.15,4.82,-1.62,true,false,true,6.15,5.29,2.19
332,2026-05-04 15:20:00,2026-05-04,15:20:00,7200,7198,7202,from_above,7202.66,7202.61,7202.92,7200.35,7201.62,1.62,true,3.12,1.51,0.36,true,5.29,1.51,2.55,true,5.29,3.78,-2.19,true,false,false,5.29,3.78,
