touch_observation_id,timestamp_et,session_date_et,session_time_et,level,zone_low,zone_high,approach,consecutive_touch,previous_close,touch_open,touch_high,touch_low,touch_close,touch_close_response_points,full_5m_window,upside_5m_points,downside_5m_points,close_relative_5m_points,favorable_5m_points,adverse_5m_points,close_move_5m_points,full_15m_window,upside_15m_points,downside_15m_points,close_relative_15m_points,favorable_15m_points,adverse_15m_points,close_move_15m_points,full_30m_window,upside_30m_points,downside_30m_points,close_relative_30m_points,favorable_30m_points,adverse_30m_points,close_move_30m_points,dominant_30m_reaction,heavy_10pt_30m_reaction,full_60m_window,upside_60m_points,downside_60m_points,close_relative_60m_points,favorable_60m_points,adverse_60m_points,close_move_60m_points
371,2026-02-27 13:25:00,2026-02-27,13:25:00,6850,6848,6852,continuation_in_zone,true,6849.8,6849.89,6853.94,6846.03,6852.75,,true,4.38,0,2.04,,,,true,7.48,1.53,3.39,,,,true,7.48,1.53,4.86,,,,,,true,15.27,1.53,1.09,,,
372,2026-02-27 13:30:00,2026-02-27,13:30:00,6850,6848,6852,from_above,true,6852.75,6852.85,6854.38,6850.42,6852.04,2.04,true,3.18,1.53,2.59,3.18,1.53,2.59,true,7.48,1.53,2.08,7.48,1.53,2.08,true,12.48,1.53,11.96,12.48,1.53,11.96,true,true,true,15.27,2.44,-0.31,15.27,2.44,-0.31
373,2026-02-27 13:35:00,2026-02-27,13:35:00,6850,6848,6852,continuation_in_zone,true,6852.04,6851.89,6853.18,6848.47,6852.59,,true,7.48,0,3.39,,,,true,7.48,0,3.58,,,,true,15.27,0,4.16,,,,,,true,15.27,2.44,4.52,,,
374,2026-02-27 13:45:00,2026-02-27,13:45:00,6850,6848,6852,from_above,false,6853.39,6853.53,6855.13,6851.15,6852.08,2.08,true,5.48,0,3.58,5.48,0,3.58,true,12.48,0,11.96,12.48,0,11.96,true,15.27,0,4.61,15.27,0,4.61,true,true,true,15.27,4.39,-2.6,15.27,4.39,-2.6
375,2026-02-27 13:50:00,2026-02-27,13:50:00,6850,6848,6852,from_above,true,6852.08,6852.19,6855.48,6850.14,6853.58,3.58,true,5.53,0,4.86,5.53,0,4.86,true,15.27,0,4.16,15.27,0,4.16,true,15.27,0,2.55,15.27,0,2.55,true,true,true,15.27,4.39,-1.48,15.27,4.39,-1.48
376,2026-02-27 13:55:00,2026-02-27,13:55:00,6850,6848,6852,from_above,true,6853.58,6853.53,6855.53,6851.04,6854.86,4.86,true,12.48,0,11.96,12.48,0,11.96,true,15.27,0,4.68,15.27,0,4.68,true,15.27,0,1.09,15.27,0,1.09,true,true,true,15.27,4.39,-1.01,15.27,4.39,-1.01
377,2026-02-27 14:10:00,2026-02-27,14:10:00,6850,6848,6852,from_above,false,6854.16,6854.32,6857.34,6851.82,6854.68,4.68,true,6.12,0,4.61,6.12,0,4.61,true,6.12,0,1.09,6.12,0,1.09,true,6.12,4.39,-1.59,6.12,4.39,-1.59,true,false,true,17.18,4.39,16.93,17.18,4.39,16.93
378,2026-02-27 14:25:00,2026-02-27,14:25:00,6850,6848,6852,from_above,false,6852.55,6852.35,6855.23,6850.41,6851.09,1.09,true,1.12,2.44,-0.31,1.12,2.44,-0.31,true,5.31,4.39,-1.59,5.31,4.39,-1.59,true,5.31,4.39,-1.01,5.31,4.39,-1.01,true,false,true,25.97,4.39,21.12,25.97,4.39,21.12
379,2026-02-27 14:30:00,2026-02-27,14:30:00,6850,6848,6852,continuation_in_zone,true,6851.09,6851.12,6851.12,6847.56,6849.69,,true,5.31,0.31,4.52,,,,true,5.31,4.39,-2.6,,,,true,5.31,4.39,1.83,,,,,,true,25.97,4.39,18.9,,,
380,2026-02-27 14:35:00,2026-02-27,14:35:00,6850,6848,6852,continuation_in_zone,true,6849.69,6849.72,6855.31,6849.72,6854.52,,true,4.52,4.39,-1.59,,,,true,4.52,4.39,-1.48,,,,true,6.35,4.39,4.63,,,,,,true,25.97,4.39,11.59,,,
381,2026-02-27 14:40:00,2026-02-27,14:40:00,6850,6848,6852,from_above,true,6854.52,6854.25,6854.32,6845.61,6848.41,-1.59,true,1.27,2.74,-2.6,1.27,2.74,-2.6,true,1.27,3.14,-1.01,1.27,3.14,-1.01,true,17.18,3.14,16.93,17.18,3.14,16.93,true,true,true,25.97,3.14,15.24,25.97,3.14,15.24
382,2026-02-27 14:45:00,2026-02-27,14:45:00,6850,6848,6852,continuation_in_zone,true,6848.41,6848.64,6851.27,6847.26,6847.4,,true,0,3.14,-1.48,,,,true,4.43,3.14,1.83,,,,true,21.81,3.14,21.16,,,,,,true,25.97,3.14,19.41,,,
383,2026-02-27 14:50:00,2026-02-27,14:50:00,6850,6848,6852,from_below,true,6847.4,6847.61,6849.72,6846.86,6848.52,1.48,true,1.07,2.15,-1.01,2.15,1.07,1.01,true,6.35,2.15,4.63,2.15,6.35,-4.63,true,25.97,2.15,23.8,2.15,25.97,-23.8,false,false,true,26.53,2.15,21.07,2.15,26.53,-21.07
384,2026-02-27 14:55:00,2026-02-27,14:55:00,6850,6848,6852,continuation_in_zone,true,6848.52,6848.29,6851.07,6847.85,6848.99,,true,4.43,1.18,1.83,,,,true,17.18,1.18,16.93,,,,true,25.97,1.18,21.12,,,,,,true,32.96,1.18,32.96,,,
385,2026-02-27 15:00:00,2026-02-27,15:00:00,6850,6848,6852,continuation_in_zone,true,6848.99,6848.82,6854.43,6848.82,6851.83,,true,6.35,0,4.63,,,,true,21.81,0,21.16,,,,true,25.97,0,18.9,,,,,,true,32.96,0,28.89,,,
386,2026-02-27 15:05:00,2026-02-27,15:05:00,6850,6848,6852,continuation_in_zone,true,6851.83,6851.87,6856.35,6851.72,6854.63,,true,17.18,0,16.93,,,,true,25.97,0,23.8,,,,true,25.97,0,11.59,,,,,,false,32.96,0,,,,
387,2026-03-02 09:30:00,2026-03-02,09:30:00,6800,6798,6802,from_above,false,6878.89,6800.78,6829.27,6796.85,6827.19,27.19,true,40.63,0,26.55,40.63,0,26.55,true,49.05,0,48.11,49.05,0,48.11,true,59.47,0,57.37,59.47,0,57.37,true,true,true,68.53,0,44.85,68.53,0,44.85
388,2026-03-02 09:45:00,2026-03-02,09:45:00,6850,6848,6852,from_below,false,6835.27,6835.72,6849.05,6832.98,6848.11,1.89,true,0,15.08,-8.81,15.08,0,8.81,true,9.47,15.08,7.37,15.08,9.47,-7.37,true,18.53,15.08,12.38,15.08,18.53,-12.38,false,true,true,18.53,15.08,6.75,15.08,18.53,-6.75
389,2026-03-02 09:50:00,2026-03-02,09:50:00,6850,6848,6852,continuation_in_zone,true,6848.11,6848.11,6848.33,6834.92,6841.19,,true,0,14.2,-4.54,,,,true,15.25,14.38,8.8,,,,true,18.53,14.38,7.18,,,,,,true,18.53,14.38,-0.72,,,
390,2026-03-02 10:00:00,2026-03-02,10:00:00,6850,6848,6852,from_below,false,6845.46,6843.56,6859.47,6835.62,6857.37,-7.37,true,15.25,0,8.8,0,15.25,-8.8,true,18.53,0,12.38,0,18.53,-12.38,true,18.53,8.67,-5.15,8.67,18.53,5.15,false,false,true,18.53,9.84,11.5,9.84,18.53,-11.5
391,2026-03-02 10:20:00,2026-03-02,10:20:00,6850,6848,6852,from_above,false,6862.38,6862.48,6863.9,6851.08,6857.18,7.18,true,9.07,3.86,-1.77,9.07,3.86,-1.77,true,9.07,9.84,4.09,9.07,9.84,4.09,true,13.33,9.84,-0.72,13.33,9.84,-0.72,true,true,true,21.6,9.84,12.02,21.6,9.84,12.02
392,2026-03-02 10:25:00,2026-03-02,10:25:00,6850,6848,6852,from_above,true,6857.18,6857.16,6859.07,6846.14,6848.23,-1.77,true,2.86,8.67,-5.15,2.86,8.67,-5.15,true,8.62,9.84,8.62,8.62,9.84,8.62,true,13.33,9.84,7.52,13.33,9.84,7.52,true,true,true,21.6,9.84,-1.68,21.6,9.84,-1.68
393,2026-03-02 10:30:00,2026-03-02,10:30:00,6850,6848,6852,continuation_in_zone,true,6848.23,6849.78,6852.86,6841.33,6844.85,,true,4.68,9.84,4.09,,,,true,13.33,9.84,6.75,,,,true,13.33,9.84,11.5,,,,,,true,21.6,9.84,3.58,,,
394,2026-03-02 10:35:00,2026-03-02,10:35:00,6850,6848,6852,from_below,true,6844.85,6845.08,6854.68,6840.16,6854.09,-4.09,true,8.62,0,8.62,0,8.62,-8.62,true,13.33,1.41,-0.72,1.41,13.33,0.72,true,20.23,2.56,19.96,2.56,20.23,-19.96,false,false,true,21.6,4.89,16.88,4.89,21.6,-16.88
395,2026-03-02 10:40:00,2026-03-02,10:40:00,6850,6848,6852,from_above,true,6854.09,6854.21,6858.62,6850.5,6858.62,8.62,true,13.33,0,6.75,13.33,0,6.75,true,13.33,2.56,7.52,13.33,2.56,7.52,true,21.6,2.56,18.85,21.6,2.56,18.85,true,true,true,30.25,4.89,29.38,30.25,4.89,29.38
396,2026-03-02 10:50:00,2026-03-02,10:50:00,6850,6848,6852,from_above,false,6856.75,6856.76,6860.33,6848.59,6849.28,-0.72,true,8.03,2.56,7.52,8.03,2.56,7.52,true,20.23,2.56,19.96,20.23,2.56,19.96,true,21.6,2.56,12.02,21.6,2.56,12.02,true,true,true,34.65,4.89,27.2,34.65,4.89,27.2
397,2026-03-02 10:55:00,2026-03-02,10:55:00,6850,6848,6852,continuation_in_zone,true,6849.28,6849.13,6858.03,6847.44,6857.52,,true,11.51,0,11.5,,,,true,21.6,0,18.85,,,,true,21.6,4.74,-1.68,,,,,,true,34.65,4.89,28.14,,,
398,2026-03-02 11:25:00,2026-03-02,11:25:00,6850,6848,6852,from_above,false,6862.02,6861.72,6862.23,6845.26,6848.32,-1.68,true,3.94,4.89,3.58,3.94,4.89,3.58,true,30.25,4.89,29.38,30.25,4.89,29.38,true,34.65,4.89,28.14,34.65,4.89,28.14,true,true,true,37.01,4.89,30.17,37.01,4.89,30.17
399,2026-03-02 11:30:00,2026-03-02,11:30:00,6850,6848,6852,from_below,true,6848.32,6847.66,6853.94,6845.11,6853.58,-3.58,true,16.88,0,16.88,0,16.88,-16.88,true,34.65,0,29.96,0,34.65,-29.96,true,34.65,0,28.57,0,34.65,-28.57,false,false,true,37.01,0,26.5,0,37.01,-26.5
400,2026-03-02 11:35:00,2026-03-02,11:35:00,6850,6848,6852,from_above,true,6853.58,6853.33,6866.88,6850.65,6866.88,16.88,true,30.25,0,29.38,30.25,0,29.38,true,34.65,0,27.2,34.65,0,27.2,true,34.65,0,26.86,34.65,0,26.86,true,true,true,37.01,0,28.18,37.01,0,28.18
401,2026-03-02 14:30:00,2026-03-02,14:30:00,6900,6898,6902,from_below,false,6896.79,6896.88,6899.91,6896.7,6899.23,0.77,true,1.01,1.91,-1.53,1.91,1.01,1.53,true,1.01,5.08,-2.13,5.08,1.01,2.13,true,1.01,5.82,-4.28,5.82,1.01,4.28,true,false,true,1.01,35.23,-24.4,35.23,1.01,24.4
402,2026-03-02 14:35:00,2026-03-02,14:35:00,6900,6898,6902,continuation_in_zone,true,6899.23,6899.15,6901.01,6898.09,6898.47,,true,0,5.08,-4.49,,,,true,0,5.08,-0.57,,,,true,0.24,24.53,-22.93,,,,,,true,0.24,35.23,-23.57,,,
403,2026-03-02 14:40:00,2026-03-02,14:40:00,6900,6898,6902,continuation_in_zone,true,6898.47,6898.23,6899.56,6894.92,6895.51,,true,0,4.54,-2.13,,,,true,0.24,4.54,-3.01,,,,true,0.24,32.81,-31.68,,,,,,true,0.24,35.23,-22.71,,,
404,2026-03-02 14:45:00,2026-03-02,14:45:00,6900,6898,6902,from_below,true,6895.51,6895.46,6899.22,6895.46,6897.87,2.13,true,0,3.66,-0.57,3.66,0,0.57,true,0.24,5.82,-4.28,5.82,0.24,4.28,true,0.24,35.23,-24.37,35.23,0.24,24.37,true,true,true,0.24,35.23,-20.95,35.23,0.24,20.95
405,2026-03-02 14:50:00,2026-03-02,14:50:00,6900,6898,6902,from_below,true,6897.87,6897.95,6899.97,6896.34,6899.43,0.57,true,0.24,3.3,-3.01,3.3,0.24,3.01,true,0.24,24.53,-22.93,24.53,0.24,22.93,true,0.24,35.23,-28,35.23,0.24,28,true,true,true,0.24,35.23,-17.4,35.23,0.24,17.4
406,2026-03-02 14:55:00,2026-03-02,14:55:00,6900,6898,6902,continuation_in_zone,true,6899.43,6899.51,6900.24,6896.7,6896.99,,true,0,5.82,-4.28,,,,true,0,32.81,-31.68,,,,true,0,35.23,-31.2,,,,,,true,0,35.23,-19.75,,,
407,2026-03-02 15:00:00,2026-03-02,15:00:00,6900,6898,6902,from_below,true,6896.99,6896.95,6898.16,6894.18,6895.72,4.28,true,0,24.53,-22.93,24.53,0,22.93,true,0,35.23,-24.37,35.23,0,24.37,true,0,35.23,-24.4,35.23,0,24.4,true,true,true,0,35.23,-18.37,35.23,0,18.37
408,2026-03-03 09:40:00,2026-03-03,09:40:00,6750,6748,6752,from_above,false,6773.22,6772.48,6773.52,6746.99,6747.97,-2.03,true,10.59,10.82,-10.61,10.59,10.82,-10.61,true,10.59,16.28,-13.06,10.59,16.28,-13.06,true,10.59,19.43,-9.36,10.59,19.43,-9.36,false,true,true,10.59,39.58,-23.17,10.59,39.58,-23.17
409,2026-03-03 09:45:00,2026-03-03,09:45:00,6750,6748,6752,from_below,true,6747.97,6747.97,6760.59,6739.18,6739.39,10.61,true,1.68,14.04,-3.79,14.04,1.68,3.79,true,1.73,18.91,-15.5,18.91,1.73,15.5,true,1.73,26.81,-25.47,26.81,1.73,25.47,true,true,true,1.73,39.58,-22.91,39.58,1.73,22.91
410,2026-03-03 09:50:00,2026-03-03,09:50:00,6750,6748,6752,from_below,true,6739.39,6738.23,6751.68,6735.96,6746.21,3.79,true,0,16.28,-13.06,16.28,0,13.06,true,1.73,19.43,-12.01,19.43,1.73,12.01,true,1.73,36.85,-31.66,36.85,1.73,31.66,true,true,true,1.73,39.58,-30.22,39.58,1.73,30.22
411,2026-03-03 10:00:00,2026-03-03,10:00:00,6750,6748,6752,from_below,false,6736.94,6736.83,6751.73,6731.09,6734.5,15.5,true,0,19.43,-12.01,19.43,0,12.01,true,0,26.81,-25.47,26.81,0,25.47,true,0,39.58,-26.06,39.58,0,26.06,true,true,true,0,39.58,-2.53,39.58,0,2.53
412,2026-03-03 10:10:00,2026-03-03,10:10:00,6750,6748,6752,from_below,false,6737.99,6737.92,6748.67,6731.58,6740.64,9.36,true,0,26.81,-25.47,26.81,0,25.47,true,0,39.58,-38.2,39.58,0,38.2,true,0,39.58,-23.17,39.58,0,23.17,true,true,true,16.19,39.58,15.04,39.58,16.19,-15.04
413,2026-03-03 11:00:00,2026-03-03,11:00:00,6750,6748,6752,from_below,false,6733.09,6733.26,6748.04,6731.8,6747.47,2.53,true,12.77,2.53,9.86,2.53,12.77,-9.86,true,25.33,2.53,17.44,2.53,25.33,-17.44,true,29.77,2.53,22.37,2.53,29.77,-22.37,false,false,true,48.01,2.53,38.73,2.53,48.01,-38.73
414,2026-03-03 11:05:00,2026-03-03,11:05:00,6750,6748,6752,from_below,true,6747.47,6747.79,6762.77,6747.79,6759.86,-9.86,true,16.19,0,15.04,0,16.19,-15.04,true,27.67,0,27.29,0,27.67,-27.29,true,29.77,0,24.83,0,29.77,-24.83,false,false,true,48.01,0,32.48,0,48.01,-32.48
415,2026-03-03 11:45:00,2026-03-03,11:45:00,6800,6798,6802,from_below,false,6781.32,6781.38,6798.01,6781.38,6789.34,10.66,true,0,12.57,-7.35,12.57,0,7.35,true,0,16.38,-11.27,16.38,0,11.27,true,0,21.21,-10.03,21.21,0,10.03,true,true,true,0,23.54,-2.59,23.54,0,2.59
416,2026-03-03 12:25:00,2026-03-03,12:25:00,6800,6798,6802,from_below,false,6796.32,6796.5,6799,6792.23,6798.03,1.97,true,0,22.02,-20.74,22.02,0,20.74,true,0,23.54,-3.01,23.54,0,3.01,true,0,23.54,-11.36,23.54,0,11.36,true,true,true,18.48,23.54,12.91,23.54,18.48,-12.91
417,2026-03-03 12:45:00,2026-03-03,12:45:00,6800,6798,6802,from_below,false,6796.99,6797,6798.63,6792.26,6797.41,2.59,true,0,15.59,-14.69,15.59,0,14.69,true,1.91,15.98,-1.48,15.98,1.91,1.48,true,2.87,15.98,1.49,15.98,2.87,-1.49,true,true,true,32.79,15.98,28.32,15.98,32.79,-28.32
418,2026-03-03 13:00:00,2026-03-03,13:00:00,6800,6798,6802,from_below,false,6788.64,6788.74,6801.91,6788.74,6798.52,1.48,true,2.87,3.34,2.53,3.34,2.87,-2.53,true,2.87,8.73,1.49,8.73,2.87,-1.49,true,22.11,8.73,20.3,8.73,22.11,-20.3,false,false,true,32.92,8.73,26.35,8.73,32.92,-26.35
419,2026-03-03 13:05:00,2026-03-03,13:05:00,6800,6798,6802,continuation_in_zone,true,6798.52,6798.49,6802.87,6796.66,6802.53,,true,2.79,8.73,-5.1,,,,true,15.29,8.73,14.5,,,,true,27.6,8.73,27.32,,,,,,true,32.92,8.73,15.41,,,
420,2026-03-03 13:10:00,2026-03-03,13:10:00,6800,6798,6802,from_above,true,6802.53,6802.56,6802.79,6791.27,6794.9,-5.1,true,2.78,5.1,1.49,2.78,5.1,1.49,true,18.48,5.1,12.91,18.48,5.1,12.91,true,32.79,5.1,26.41,32.79,5.1,26.41,true,true,true,32.92,5.1,19.83,32.92,5.1,19.83
421,2026-03-03 13:15:00,2026-03-03,13:15:00,6800,6798,6802,from_below,true,6794.9,6795.36,6802.78,6795.36,6801.49,-1.49,true,15.29,0,14.5,0,15.29,-14.5,true,22.11,0,20.3,0,22.11,-20.3,true,32.79,0,28.32,0,32.79,-28.32,false,false,true,32.92,0,23.51,0,32.92,-23.51
422,2026-03-03 13:20:00,2026-03-03,13:20:00,6800,6798,6802,continuation_in_zone,true,6801.49,6801.52,6815.29,6801.52,6814.5,,true,18.48,0,12.91,,,,true,27.6,0,27.32,,,,true,32.92,0,28.56,,,,,,true,32.92,0,24.42,,,
423,2026-03-04 09:30:00,2026-03-04,09:30:00,6850,6848,6852,from_below,false,6816.62,6830.67,6848.04,6830.67,6843.93,6.07,true,0,26.54,-25.08,26.54,0,25.08,true,0,38.36,-26.69,38.36,0,26.69,true,0,38.36,-19.96,38.36,0,19.96,true,true,true,27.23,38.36,18.74,38.36,27.23,-18.74
424,2026-03-04 10:10:00,2026-03-04,10:10:00,6850,6848,6852,from_below,false,6845.92,6845.78,6851.33,6840.57,6846.52,3.48,true,8.96,3.54,8.71,3.54,8.96,-8.71,true,26.76,3.54,25.44,3.54,26.76,-25.44,true,27.23,3.54,9.45,3.54,27.23,-9.45,false,false,true,30.38,3.54,10.22,3.54,30.38,-10.22
425,2026-03-04 10:15:00,2026-03-04,10:15:00,6850,6848,6852,from_below,true,6846.52,6846.46,6858.96,6846.46,6858.71,-8.71,true,19.93,0,19.93,0,19.93,-19.93,true,27.23,0,18.74,0,27.23,-18.74,true,27.23,0,10.29,0,27.23,-10.29,false,false,true,30.38,0,10.18,0,30.38,-10.18
426,2026-03-05 09:30:00,2026-03-05,09:30:00,6850,6848,6852,from_above,false,6869.49,6851.08,6856.62,6835.49,6856.62,6.62,true,9.7,2.56,1.78,9.7,2.56,1.78,true,9.7,12.44,-6.13,9.7,12.44,-6.13,true,20.43,12.44,8.31,20.43,12.44,8.31,true,true,true,20.43,42.12,-33.18,20.43,42.12,-33.18
427,2026-03-05 09:35:00,2026-03-05,09:35:00,6850,6848,6852,from_above,true,6856.62,6856.8,6859.7,6847.44,6851.78,1.78,true,2.22,9.43,-8.29,2.22,9.43,-8.29,true,3.95,12.44,3.95,3.95,12.44,3.95,true,20.43,12.44,0.69,20.43,12.44,0.69,true,true,true,20.43,42.12,-24.52,20.43,42.12,-24.52
428,2026-03-05 09:40:00,2026-03-05,09:40:00,6850,6848,6852,from_above,true,6851.78,6852.17,6852.22,6840.57,6841.71,-8.29,true,2.27,12.44,-6.13,2.27,12.44,-6.13,true,15.93,12.44,15.93,15.93,12.44,15.93,true,20.43,12.44,8.3,20.43,12.44,8.3,true,true,true,20.43,42.12,-23.35,20.43,42.12,-23.35
429,2026-03-05 09:45:00,2026-03-05,09:45:00,6850,6848,6852,from_below,true,6841.71,6842.05,6852.27,6837.56,6843.87,6.13,true,3.95,7.92,3.95,7.92,3.95,-3.95,true,20.43,7.92,8.31,7.92,20.43,-8.31,true,20.43,7.92,-5.67,7.92,20.43,5.67,false,false,true,20.43,42.12,-22.29,42.12,20.43,22.29
430,2026-03-05 09:50:00,2026-03-05,09:50:00,6850,6848,6852,from_below,true,6843.87,6843.68,6853.95,6842.08,6853.95,-3.95,true,15.93,0,15.93,0,15.93,-15.93,true,20.43,5.44,0.69,5.44,20.43,-0.69,true,20.43,24.1,-23.9,24.1,20.43,23.9,true,true,true,20.43,42.12,-12.95,42.12,20.43,12.95
431,2026-03-05 09:55:00,2026-03-05,09:55:00,6850,6848,6852,from_above,true,6853.95,6853.93,6865.93,6851.52,6865.93,15.93,true,20.43,0,8.31,20.43,0,8.31,true,20.43,5.44,8.3,20.43,5.44,8.3,true,20.43,31.38,-28.1,20.43,31.38,-28.1,false,true,true,20.43,42.12,-14.93,20.43,42.12,-14.93
432,2026-03-05 10:05:00,2026-03-05,10:05:00,6850,6848,6852,from_above,false,6858.31,6858.2,6858.45,6844.56,6850.69,0.69,true,8.3,3.66,8.3,8.3,3.66,8.3,true,8.3,24.1,-23.9,8.3,24.1,-23.9,true,8.3,42.12,-24.52,8.3,42.12,-24.52,false,false,true,8.3,42.12,-34.08,8.3,42.12,-34.08
433,2026-03-05 10:10:00,2026-03-05,10:10:00,6850,6848,6852,continuation_in_zone,true,6850.69,6850.81,6858.3,6846.34,6858.3,,true,8.3,6.6,-5.67,,,,true,8.3,31.38,-28.1,,,,true,8.3,42.12,-23.35,,,,,,true,8.3,43.29,-37.68,,,
434,2026-03-05 10:15:00,2026-03-05,10:15:00,6850,6848,6852,from_above,true,6858.3,6858.06,6858.06,6843.4,6844.33,-5.67,true,0,24.1,-23.9,0,24.1,-23.9,true,0,42.12,-33.18,0,42.12,-33.18,true,0,42.12,-22.29,0,42.12,-22.29,false,false,true,0,44.76,-39.87,0,44.76,-39.87
435,2026-03-05 12:30:00,2026-03-05,12:30:00,6800,6798,6802,from_above,false,6802.41,6799.77,6801.41,6786.66,6786.66,-13.34,true,0,15.06,-6.47,0,15.06,-6.47,true,0,23.1,-22.39,0,23.1,-22.39,true,0,25.69,-15.23,0,25.69,-15.23,false,false,true,0,27.2,-22.3,0,27.2,-22.3
436,2026-03-05 12:35:00,2026-03-05,12:35:00,6800,6798,6802,from_below,true,6786.66,6786.89,6799.01,6784.94,6793.53,6.47,true,0,15.87,-15.12,15.87,0,15.12,true,0,25.4,-22.18,25.4,0,22.18,true,0,25.69,-8.35,25.69,0,8.35,true,true,true,0,27.2,-18.42,27.2,0,18.42
437,2026-03-05 15:10:00,2026-03-05,15:10:00,6800,6798,6802,from_below,false,6796.33,6796.2,6804.36,6796.03,6802.01,-2.01,true,8.19,1.74,5.14,1.74,8.19,-5.14,true,17.88,1.74,8.83,1.74,17.88,-8.83,true,18.82,1.74,13.95,1.74,18.82,-13.95,false,false,false,31.76,1.74,,1.74,31.76,
438,2026-03-05 15:15:00,2026-03-05,15:15:00,6800,6798,6802,from_above,true,6802.01,6802.06,6808.19,6798.26,6805.14,5.14,true,11.83,0,11.69,11.83,0,11.69,true,17.88,0,14.03,17.88,0,14.03,true,19.11,0,19.11,19.11,0,19.11,true,true,false,31.76,0,,31.76,0,
439,2026-03-06 09:30:00,2026-03-06,09:30:00,6750,6748,6752,from_above,false,6830.72,6748.54,6752.05,6734.37,6736.84,-13.16,true,0,33.27,-25.66,0,33.27,-25.66,true,0,37.2,-30.63,0,37.2,-30.63,true,0,38.44,-10.48,0,38.44,-10.48,false,false,true,12.67,38.44,12.2,12.67,38.44,12.2
440,2026-03-06 10:20:00,2026-03-06,10:20:00,6750,6748,6752,from_below,false,6747.68,6747.65,6755.9,6745.58,6754.48,-4.48,true,5.75,0.56,4.43,0.56,5.75,-4.43,true,21.73,0.56,19.22,0.56,21.73,-19.22,true,21.73,11.1,-3.99,11.1,21.73,3.99,false,true,true,23.42,11.1,7.45,11.1,23.42,-7.45
441,2026-03-06 10:25:00,2026-03-06,10:25:00,6750,6748,6752,from_above,true,6754.48,6754.31,6755.75,6749.44,6754.43,4.43,true,12.67,0,12.2,12.67,0,12.2,true,21.73,0,10.87,21.73,0,10.87,true,21.73,11.1,12.84,21.73,11.1,12.84,true,true,true,23.42,11.1,6.7,23.42,11.1,6.7
442,2026-03-06 10:45:00,2026-03-06,10:45:00,6750,6748,6752,from_above,false,6760.87,6760.94,6761.93,6749.32,6751.01,1.01,true,1.01,11.1,-3.99,1.01,11.1,-3.99,true,22.9,11.1,22.1,22.9,11.1,22.1,true,23.42,11.1,11.86,23.42,11.1,11.86,true,true,true,23.42,11.1,17.41,23.42,11.1,17.41
443,2026-03-06 10:50:00,2026-03-06,10:50:00,6750,6748,6752,continuation_in_zone,true,6751.01,6750.93,6750.93,6738.9,6746.01,,true,16.65,3.99,12.84,,,,true,23.42,3.99,13.05,,,,true,23.42,3.99,7.45,,,,,,true,23.42,3.99,9.61,,,
444,2026-03-06 10:55:00,2026-03-06,10:55:00,6750,6748,6752,from_below,true,6746.01,6746.9,6766.65,6746.9,6762.84,-12.84,true,22.9,0,22.1,0,22.9,-22.1,true,23.42,0,5.41,0,23.42,-5.41,true,23.42,1.67,6.7,1.67,23.42,-6.7,false,false,true,23.42,2.23,13.43,2.23,23.42,-13.43
445,2026-03-06 11:20:00,2026-03-06,11:20:00,6750,6748,6752,from_above,false,6761.86,6762.05,6763.17,6748.33,6757.45,7.45,true,9.41,0,6.7,9.41,0,6.7,true,14.51,2.23,13.04,14.51,2.23,13.04,true,22.59,2.23,9.61,22.59,2.23,9.61,true,true,true,22.59,2.23,8.68,22.59,2.23,8.68
446,2026-03-06 11:25:00,2026-03-06,11:25:00,6750,6748,6752,from_above,true,6757.45,6757.84,6759.41,6751.79,6756.7,6.7,true,8.65,2.23,0.35,8.65,2.23,0.35,true,14.92,2.23,8.22,14.92,2.23,8.22,true,22.59,2.23,13.43,22.59,2.23,13.43,true,true,true,22.59,2.5,2.15,22.59,2.5,2.15
447,2026-03-06 11:30:00,2026-03-06,11:30:00,6750,6748,6752,from_above,true,6756.7,6756.97,6758.65,6747.77,6750.35,0.35,true,14.51,0.4,13.04,14.51,0.4,13.04,true,19.98,0.4,17.41,19.98,0.4,17.41,true,22.59,0.4,16.92,22.59,0.4,16.92,true,true,true,22.59,2.5,4.27,22.59,2.5,4.27
448,2026-03-06 11:35:00,2026-03-06,11:35:00,6750,6748,6752,continuation_in_zone,true,6750.35,6750.4,6764.51,6749.6,6763.04,,true,14.92,0,8.22,,,,true,22.59,0,9.61,,,,true,22.59,0,3.73,,,,,,true,22.59,10.24,-7.54,,,
449,2026-03-06 12:05:00,2026-03-06,12:05:00,6750,6748,6752,from_above,false,6766.92,6766.62,6766.7,6750.51,6753.73,3.73,true,6.44,0,2.54,6.44,0,2.54,true,14.01,1.56,8.68,14.01,1.56,8.68,true,14.01,10.24,-7.54,14.01,10.24,-7.54,true,true,true,14.01,15.73,5.28,14.01,15.73,5.28
450,2026-03-06 12:10:00,2026-03-06,12:10:00,6750,6748,6752,from_above,true,6753.73,6753.71,6756.44,6750.68,6752.54,2.54,true,7.22,1.56,7.22,7.22,1.56,7.22,true,14.01,2.5,2.15,14.01,2.5,2.15,true,14.01,15.73,-9.87,14.01,15.73,-9.87,false,true,true,23.18,15.73,21.78,23.18,15.73,21.78
