touch_observation_id,timestamp_et,session_date_et,session_time_et,level,zone_low,zone_high,approach,consecutive_touch,previous_close,touch_open,touch_high,touch_low,touch_close,touch_close_response_points,full_5m_window,upside_5m_points,downside_5m_points,close_relative_5m_points,favorable_5m_points,adverse_5m_points,close_move_5m_points,full_15m_window,upside_15m_points,downside_15m_points,close_relative_15m_points,favorable_15m_points,adverse_15m_points,close_move_15m_points,full_30m_window,upside_30m_points,downside_30m_points,close_relative_30m_points,favorable_30m_points,adverse_30m_points,close_move_30m_points,dominant_30m_reaction,heavy_10pt_30m_reaction,full_60m_window,upside_60m_points,downside_60m_points,close_relative_60m_points,favorable_60m_points,adverse_60m_points,close_move_60m_points
1551,2026-06-10 11:00:00,2026-06-10,11:00:00,7350,7348,7352,from_below,true,7341.63,7341.56,7355.98,7331.84,7343.12,6.88,true,0,20.04,-19.65,20.04,0,19.65,true,0,42.35,-35.09,42.35,0,35.09,true,0,42.35,-26.59,42.35,0,26.59,true,true,true,0,52.21,-22.67,52.21,0,22.67
1552,2026-06-10 11:50:00,2026-06-10,11:50:00,7300,7298,7302,from_above,false,7312.49,7312.27,7327.18,7297.79,7321.9,21.9,true,32.35,0,31.4,32.35,0,31.4,true,36.8,0,19.67,36.8,0,19.67,true,36.8,0,13.12,36.8,0,13.12,true,true,true,36.8,0,14.86,36.8,0,14.86
1553,2026-06-10 13:10:00,2026-06-10,13:10:00,7300,7298,7302,from_above,false,7309.44,7309.03,7309.21,7299.73,7301.74,1.74,true,5.54,0.83,1.63,5.54,0.83,1.63,true,9.84,0.83,8.07,9.84,0.83,8.07,true,9.84,8.77,-8.42,9.84,8.77,-8.42,true,false,true,29.15,8.77,19.31,29.15,8.77,19.31
1554,2026-06-10 13:15:00,2026-06-10,13:15:00,7300,7298,7302,continuation_in_zone,true,7301.74,7301.81,7305.54,7299.17,7301.63,,true,7.1,0.33,6.24,,,,true,9.84,2.91,0.58,,,,true,17.94,8.77,14.99,,,,,,true,29.15,8.77,9.93,,,
1555,2026-06-10 13:20:00,2026-06-10,13:20:00,7300,7298,7302,continuation_in_zone,true,7301.63,7301.54,7307.1,7299.67,7306.24,,true,9.84,0,8.07,,,,true,9.84,6.7,-6.52,,,,true,17.94,8.77,11.06,,,,,,true,29.15,8.77,11.59,,,
1556,2026-06-10 13:30:00,2026-06-10,13:30:00,7300,7298,7302,from_above,false,7308.07,7308.26,7308.79,7297.09,7300.58,0.58,true,0.91,6.7,-6.52,0.91,6.7,-6.52,true,17.94,8.77,14.99,17.94,8.77,14.99,true,28.92,8.77,28.92,28.92,8.77,28.92,true,true,true,29.15,8.77,2.55,29.15,8.77,2.55
1557,2026-06-10 13:35:00,2026-06-10,13:35:00,7300,7298,7302,continuation_in_zone,true,7300.58,7300.91,7300.91,7293.3,7293.48,,true,0,8.77,-8.42,,,,true,17.94,8.77,11.06,,,,true,29.15,8.77,17.6,,,,,,true,29.15,8.77,-2.77,,,
1558,2026-06-10 13:45:00,2026-06-10,13:45:00,7300,7298,7302,from_below,false,7291.58,7291.59,7317.94,7291.37,7314.99,-14.99,true,16.4,0,11.06,0,16.4,-11.06,true,28.92,0,28.92,0,28.92,-28.92,true,29.15,0,9.93,0,29.15,-9.93,false,false,true,29.15,8.48,-8.48,8.48,29.15,8.48
1559,2026-06-10 14:30:00,2026-06-10,14:30:00,7300,7298,7302,from_above,false,7307.73,7307.74,7307.74,7301.45,7302.55,2.55,true,2.59,5.93,-2.77,2.59,5.93,-2.77,true,2.59,8.48,-8.48,2.59,8.48,-8.48,true,2.59,18.91,-14.19,2.59,18.91,-14.19,false,false,true,2.59,32.65,-19.01,2.59,32.65,-19.01
1560,2026-06-10 14:35:00,2026-06-10,14:35:00,7300,7298,7302,from_above,true,7302.55,7302.59,7302.59,7294.07,7297.23,-2.77,true,0.06,6.28,-2.63,0.06,6.28,-2.63,true,0.06,17.53,-10.53,0.06,17.53,-10.53,true,0.06,18.91,-10.17,0.06,18.91,-10.17,false,false,true,0.06,32.65,-12.73,0.06,32.65,-12.73
