timestamp_et,session_date_et,session_time_et,open,high,low,close,volume,touched_dynamite_zone,touched_levels,first_touch_event,first_touch_levels,approach_directions
2026-03-23 14:05:00,2026-03-23,14:05:00,6607.21,6607.56,6592.22,6599.96,29850600,true,6600,true,6600,6600:from_above
2026-03-23 14:10:00,2026-03-23,14:10:00,6600.22,6606,6600.22,6603.3,23367700,true,6600,false,,
2026-03-23 14:15:00,2026-03-23,14:15:00,6602.57,6603.67,6597.71,6600.5,19452790,true,6600,false,,
2026-03-23 14:20:00,2026-03-23,14:20:00,6600.61,6601.36,6598.35,6601.34,18311190,true,6600,false,,
2026-03-23 14:25:00,2026-03-23,14:25:00,6601.43,6604.21,6599.39,6600.02,20070350,true,6600,false,,
2026-03-23 14:30:00,2026-03-23,14:30:00,6600.17,6614.68,6600.17,6614.38,26253490,true,6600,false,,
2026-03-23 14:35:00,2026-03-23,14:35:00,6614.47,6621.91,6612.17,6615.49,28616550,false,,false,,
2026-03-23 14:40:00,2026-03-23,14:40:00,6615.67,6617.01,6611.71,6613.59,21263320,false,,false,,
2026-03-23 14:45:00,2026-03-23,14:45:00,6613.76,6618.26,6612.27,6617.47,19996510,false,,false,,
2026-03-23 14:50:00,2026-03-23,14:50:00,6617.41,6617.77,6612.54,6614.41,22111300,false,,false,,
2026-03-23 14:55:00,2026-03-23,14:55:00,6614.38,6616.83,6612.52,6615.59,22474690,false,,false,,
2026-03-23 15:00:00,2026-03-23,15:00:00,6615.64,6615.91,6610.23,6611.84,25643180,false,,false,,
2026-03-23 15:05:00,2026-03-23,15:05:00,6611.82,6613.5,6610.28,6613.38,25465340,false,,false,,
2026-03-23 15:10:00,2026-03-23,15:10:00,6613.06,6613.22,6607.04,6607.42,26309450,false,,false,,
2026-03-23 15:15:00,2026-03-23,15:15:00,6607.4,6608.63,6601.84,6604.41,27382950,true,6600,true,6600,6600:from_above
2026-03-23 15:20:00,2026-03-23,15:20:00,6604.48,6604.95,6599.97,6601.5,28190850,true,6600,false,,
2026-03-23 15:25:00,2026-03-23,15:25:00,6601.46,6602.7,6596.91,6599.43,30863780,true,6600,false,,
2026-03-23 15:30:00,2026-03-23,15:30:00,6599.43,6601.53,6598.25,6599.12,33461070,true,6600,false,,
2026-03-23 15:35:00,2026-03-23,15:35:00,6599.15,6602.91,6597.62,6601.79,34400390,true,6600,false,,
2026-03-23 15:40:00,2026-03-23,15:40:00,6601.66,6604.59,6599.68,6604.59,38166950,true,6600,false,,
2026-03-23 15:45:00,2026-03-23,15:45:00,6604.62,6608.64,6600.95,6603.65,49290550,true,6600,false,,
2026-03-23 15:50:00,2026-03-23,15:50:00,6603.73,6603.73,6592.57,6592.77,90318890,true,6600,false,,
2026-03-23 15:55:00,2026-03-23,15:55:00,6592.6,6593.22,6580.32,6581.75,209112260,false,,false,,
2026-03-23 16:00:00,2026-03-23,16:00:00,6580.26,6581.39,6580.26,6580.99,554692700,false,,false,,
2026-03-24 09:30:00,2026-03-24,09:30:00,6540.45,6553.39,6534.26,6553.23,109566265,true,6550,true,6550,6550:from_above
2026-03-24 09:35:00,2026-03-24,09:35:00,6553.33,6555.06,6537.75,6538.63,46381012,true,6550,false,,
